psalm_number,section_number,verse_number,section_title,part_number,text
5,1,3,Verba mea auribus,1,"My voice shalt thou hear betimes, O Lord"
5,1,3,Verba mea auribus,2,"early in the morning will I direct my prayer unto thee, and will look up."
5,1,4,Verba mea auribus,1,For thou art the God that hast no pleasure in wickedness
5,1,4,Verba mea auribus,2,neither shall any evil dwell with thee.
5,1,5,Verba mea auribus,1,Such as be foolish shall not stand in thy sight
5,1,5,Verba mea auribus,2,for thou hatest all them that work vanity.
5,1,6,Verba mea auribus,1,Thou shalt destroy them that speak leasing
5,1,6,Verba mea auribus,2,the Lord will abhor both the blood-thirsty and deceitful man.
5,1,7,Verba mea auribus,1,"But as for me, I will come into thine house, even upon the multitude of thy mercy"
5,1,7,Verba mea auribus,2,and in thy fear will I worship toward thy holy temple.
5,1,8,Verba mea auribus,1,"Lead me, O Lord, in thy righteousness, because of mine enemies"
5,1,8,Verba mea auribus,2,make thy way plain before my face.
5,1,9,Verba mea auribus,1,For there is no faithfulness in his mouth
5,1,9,Verba mea auribus,2,their inward parts are very wickedness.
5,1,10,Verba mea auribus,1,Their throat is an open sepulchre
5,1,10,Verba mea auribus,2,they flatter with their tongue.
5,1,11,Verba mea auribus,1,"Destroy thou them, O God; let them perish through their own imaginations"
5,1,11,Verba mea auribus,2,cast them out in the multitude of their ungodliness; for they have rebelled against thee.
5,1,12,Verba mea auribus,1,And let all them that put their trust in thee rejoice
5,1,12,Verba mea auribus,2,"they shall ever be giving of thanks, because thou defendest them; they that love thy Name shall be joyful in thee;"
5,1,13,Verba mea auribus,1,"For thou, Lord, wilt give thy blessing unto the righteous"
5,1,13,Verba mea auribus,2,and with thy favourable kindness wilt thou defend him as with a shield.
5,2,15,Doxology,1,Glory be to the Father
5,2,15,Doxology,2,"and to the Son, and to the Holy Ghost"
5,2,14,Doxology,1,"As it was in the beginning, is now, and ever shall be"
5,2,14,Doxology,2,world without end. Amen.
6,1,1,"Domine, ne in furore",1,"O LORD, rebuke me not in thine indignation"
6,1,1,"Domine, ne in furore",2,neither chasten me in thy displeasure.
6,1,2,"Domine, ne in furore",1,"Have mercy upon me, O Lord, for I am weak"
6,1,2,"Domine, ne in furore",2,"O Lord, heal me, for my bones are vexed."
6,1,3,"Domine, ne in furore",1,My soul also is sore troubled
6,1,3,"Domine, ne in furore",2,"but, Lord, how long wilt thou punish me?"
6,1,4,"Domine, ne in furore",1,"Turn thee, O Lord, and deliver my soul"
6,1,4,"Domine, ne in furore",2,O save me for thy mercy's sake.
6,1,5,"Domine, ne in furore",1,For in death no man remembereth thee
6,1,5,"Domine, ne in furore",2,and who will give thee thanks in the pit?
6,1,6,"Domine, ne in furore",1,I am weary of my groaning; every night wash I my bed
6,1,6,"Domine, ne in furore",2,and water my couch with my tears.
6,1,7,"Domine, ne in furore",1,My beauty is gone for very trouble
6,1,7,"Domine, ne in furore",2,and worn away because of all mine enemies.
6,1,8,"Domine, ne in furore",1,"Away from me, all ye that work vanity"
6,1,8,"Domine, ne in furore",2,for the Lord hath heard the voice of my weeping.
6,1,9,"Domine, ne in furore",1,The Lord hath heard my petition
6,1,9,"Domine, ne in furore",2,the Lord will receive my prayer.
6,1,10,"Domine, ne in furore",1,"All mine enemies shall be confounded, and sore vexed"
6,1,10,"Domine, ne in furore",2,"they shall be turned back, and put to shame suddenly."
6,2,11,Doxology,1,Glory be to the Father
6,2,11,Doxology,2,"and to the Son, and to the Holy Ghost"
6,2,12,Doxology,1,"As it was in the beginning, is now, and ever shall be"
6,2,12,Doxology,2,world without end. Amen.
7,1,1,"Domine, Deus meus",1,"O LORD my God, in thee have I put my trust"
7,1,1,"Domine, Deus meus",2,"save me from all them that persecute me, and deliver me;"
7,1,2,"Domine, Deus meus",1,"Lest he devour my soul, like a lion, and tear it in pieces"
7,1,2,"Domine, Deus meus",2,while there is none to help.
7,1,3,"Domine, Deus meus",1,"O Lord my God, if I have done any such thing"
7,1,3,"Domine, Deus meus",2,or if there be any wickedness in my hands;
7,1,4,"Domine, Deus meus",1,If I have rewarded evil unto him that dealt friendly with me
7,1,4,"Domine, Deus meus",2,"yea, I have delivered him that without any cause is mine enemy;"
7,1,5,"Domine, Deus meus",1,"Then let mine enemy persecute my soul, and take me"
7,1,5,"Domine, Deus meus",2,"yea, let him tread my life down upon the earth, and lay mine honour in the dust."
7,1,6,"Domine, Deus meus",1,"Stand up, O Lord, in thy wrath, and lift up thyself, because of the indignation of mine enemies"
7,1,6,"Domine, Deus meus",2,arise up for me in the judgement that thou hast commanded.
7,1,7,"Domine, Deus meus",1,And so shall the congregation of the people come about thee
7,1,7,"Domine, Deus meus",2,for their sakes therefore lift up thyself again.
7,1,8,"Domine, Deus meus",1,"The Lord shall judge the people; give sentence with me, O Lord"
7,1,8,"Domine, Deus meus",2,"according to my righteousness, and according to the innocency that is in me."
7,1,9,"Domine, Deus meus",1,O let the wickedness of the ungodly come to an end
7,1,9,"Domine, Deus meus",2,but guide thou the just.
7,1,10,"Domine, Deus meus",1,For the righteous God
7,1,10,"Domine, Deus meus",2,trieth the very hearts and reins.
7,1,11,"Domine, Deus meus",1,My help cometh of God
7,1,11,"Domine, Deus meus",2,who preserveth them that are true of heart.
7,1,12,"Domine, Deus meus",1,"God is a righteous Judge, strong and patient"
7,1,12,"Domine, Deus meus",2,and God is provoked every day.
7,1,13,"Domine, Deus meus",1,"If a man will not turn, he will whet his sword"
7,1,13,"Domine, Deus meus",2,"he hath bent his bow, and made it ready."
7,1,14,"Domine, Deus meus",1,He hath prepared for him the instruments of death
7,1,14,"Domine, Deus meus",2,he ordaineth his arrows against the persecutors.
7,1,15,"Domine, Deus meus",1,"Behold, he travaileth with mischief"
7,1,15,"Domine, Deus meus",2,"he hath conceived sorrow, and brought forth ungodliness."
7,1,16,"Domine, Deus meus",1,He hath graven and digged up a pit
7,1,16,"Domine, Deus meus",2,and is fallen himself into the destruction that he made for other.
7,1,17,"Domine, Deus meus",1,For his travail shall come upon his own head
7,1,17,"Domine, Deus meus",2,and his wickedness shall fall on his own pate.
7,1,18,"Domine, Deus meus",1,"I will give thanks unto the Lord, according to his righteousness"
7,1,18,"Domine, Deus meus",2,and I will praise the Name of the Lord most High.
7,2,19,Doxology,1,Glory be to the Father
7,2,19,Doxology,2,"and to the Son, and to the Holy Ghost"
7,2,20,Doxology,1,"As it was in the beginning, is now, and ever shall be"
7,2,20,Doxology,2,world without end. Amen.
8,1,1,"Domine, Dominus noster",1,"O LORD our Governor, how excellent is thy Name in all the world"
8,1,1,"Domine, Dominus noster",2,thou that hast set thy glory above the heavens!
8,1,2,"Domine, Dominus noster",1,"Out of the mouth of very babes and sucklings hast thou ordained strength, because of thine enemies"
8,1,2,"Domine, Dominus noster",2,that thou mightest still the enemy and the avenger.
8,1,3,"Domine, Dominus noster",1,"For I will consider thy heavens, even the works of thy fingers"
8,1,3,"Domine, Dominus noster",2,"the moon and the stars, which thou hast ordained."
8,1,4,"Domine, Dominus noster",1,"What is man, that thou art mindful of him"
8,1,4,"Domine, Dominus noster",2,"and the son of man, that thou visitest him?"
8,1,5,"Domine, Dominus noster",1,Thou madest him lower than the angels
8,1,5,"Domine, Dominus noster",2,to crown him with glory and worship.
8,1,6,"Domine, Dominus noster",1,Thou makest him to have dominion of the works of thy hands
8,1,6,"Domine, Dominus noster",2,and thou hast put all things in subjection under his feet;
8,1,7,"Domine, Dominus noster",1,All sheep and oxen
8,1,7,"Domine, Dominus noster",2,"yea, and the beasts of the field;"
8,1,8,"Domine, Dominus noster",1,"The fowls of the air, and the fishes of the sea"
8,1,8,"Domine, Dominus noster",2,and whatsoever walketh through the paths of the seas.
8,1,9,"Domine, Dominus noster",1,O Lord our Governor
8,1,9,"Domine, Dominus noster",2,how excellent is thy Name in all the world!
8,2,11,Doxology,1,Glory be to the Father
8,2,11,Doxology,2,"and to the Son, and to the Holy Ghost"
8,2,10,Doxology,1,"As it was in the beginning, is now, and ever shall be"
8,2,10,Doxology,2,world without end. Amen.
9,1,1,Confitebor tibi,1,"I WILL give thanks unto thee, O Lord, with my whole heart"
9,1,1,Confitebor tibi,2,I will speak of all thy marvellous works.
9,1,2,Confitebor tibi,1,I will be glad and rejoice in thee
9,1,2,Confitebor tibi,2,"yea, my songs will I make of thy Name, O thou most Highest."
9,1,3,Confitebor tibi,1,While mine enemies are driven back
9,1,3,Confitebor tibi,2,they shall fall and perish at thy presence.
9,1,4,Confitebor tibi,1,For thou hast maintained my right and my cause
9,1,4,Confitebor tibi,2,thou art set in the throne that judgest right.
9,1,5,Confitebor tibi,1,"Thou hast rebuked the heathen, and destroyed the ungodly"
9,1,5,Confitebor tibi,2,thou hast put out their name for ever and ever.
9,1,6,Confitebor tibi,1,"O thou enemy, destructions are come to a perpetual end"
9,1,6,Confitebor tibi,2,"even as the cities which thou hast destroyed, their memorial is perished with them."
9,1,7,Confitebor tibi,1,But the Lord shall endure for ever
9,1,7,Confitebor tibi,2,he hath also prepared his seat for judgement.
9,1,8,Confitebor tibi,1,For he shall judge the world in righteousness
9,1,8,Confitebor tibi,2,and minister true judgement unto the people.
9,1,9,Confitebor tibi,1,The Lord also will be a defence for the oppressed
9,1,9,Confitebor tibi,2,even a refuge in due time of trouble.
9,1,10,Confitebor tibi,1,And they that know thy Name will put their trust in thee
9,1,10,Confitebor tibi,2,"for thou, Lord, hast never failed them that seek thee."
9,1,11,Confitebor tibi,1,O praise the Lord which dwelleth in Sion
9,1,11,Confitebor tibi,2,shew the people of his doings.
9,1,12,Confitebor tibi,1,"For when he maketh inquisition for blood, he remembereth them"
9,1,12,Confitebor tibi,2,and forgetteth not the complaint of the poor.
9,1,13,Confitebor tibi,1,"Have mercy upon me, O Lord; consider the trouble which I suffer of them that hate me"
9,1,13,Confitebor tibi,2,thou that liftest me up from the gates of death.
9,1,14,Confitebor tibi,1,That I may shew all thy praises within the ports of the daughter of Sion
9,1,14,Confitebor tibi,2,I will rejoice in thy salvation.
9,1,15,Confitebor tibi,1,The heathen are sunk down in the pit that they made
9,1,15,Confitebor tibi,2,"in the same net which they hid privily, is their foot taken."
9,1,16,Confitebor tibi,1,The Lord is known to execute judgement
9,1,16,Confitebor tibi,2,the ungodly is trapped in the work of his own hands.
9,1,17,Confitebor tibi,1,The wicked shall be turned into hell
9,1,17,Confitebor tibi,2,and all the people that forget God.
9,1,18,Confitebor tibi,1,For the poor shall not alway be forgotten
9,1,18,Confitebor tibi,2,the patient abiding of the meek shall not perish for ever.
9,1,19,Confitebor tibi,1,"Up, Lord, and let not man have the upper hand"
9,1,19,Confitebor tibi,2,let the heathen be judged in thy sight.
9,1,20,Confitebor tibi,1,"Put them in fear, O Lord"
9,1,20,Confitebor tibi,2,that the heathen may know themselves to be but men.
9,2,21,Doxology,1,Glory be to the Father
9,2,21,Doxology,2,"and to the Son, and to the Holy Ghost"
9,2,22,Doxology,1,"As it was in the beginning, is now, and ever shall be"
9,2,22,Doxology,2,world without end. Amen.
10,1,1,"Ut quid, Domine?",1,"WHY standest thou so far off, O Lord"
10,1,1,"Ut quid, Domine?",2,and hidest thy face in the needful time of trouble?
10,1,2,"Ut quid, Domine?",1,The ungodly for his own lust doth persecute the poor
10,1,2,"Ut quid, Domine?",2,let them be taken in the crafty wiliness that they have imagined.
10,1,3,"Ut quid, Domine?",1,For the ungodly hath made boast of his own heart's desire
10,1,3,"Ut quid, Domine?",2,"and speaketh good of the covetous, whom God abhorreth."
10,1,4,"Ut quid, Domine?",1,"The ungodly is so proud, that he careth not for God"
10,1,4,"Ut quid, Domine?",2,neither is God in all his thoughts.
10,1,5,"Ut quid, Domine?",1,His ways are alway grievous
10,1,5,"Ut quid, Domine?",2,"thy judgements are far above out of his sight, and therefore defieth he all his enemies"
10,2,6,"are far above out of his sight, and therefore defieth he all his enemies.",1,"For he hath said in his heart, Tush, I shall never be cast down"
10,2,6,"are far above out of his sight, and therefore defieth he all his enemies.",2,there shall no harm happen unto me.
10,2,7,"are far above out of his sight, and therefore defieth he all his enemies.",1,"His mouth is full of cursing, deceit, and fraud"
10,2,7,"are far above out of his sight, and therefore defieth he all his enemies.",2,under his tongue is ungodliness and vanity.
10,2,8,"are far above out of his sight, and therefore defieth he all his enemies.",1,He sitteth lurking in the thievish corners of the streets
10,2,8,"are far above out of his sight, and therefore defieth he all his enemies.",2,and privily in his lurking dens doth he murder the innocent; his eyes are set against the poor.
10,2,9,"are far above out of his sight, and therefore defieth he all his enemies.",1,"For he lieth waiting secretly, even as a lion lurketh he in his den"
10,2,9,"are far above out of his sight, and therefore defieth he all his enemies.",2,that he may ravish the poor.
10,2,10,"are far above out of his sight, and therefore defieth he all his enemies.",1,He doth ravish the poor
10,2,10,"are far above out of his sight, and therefore defieth he all his enemies.",2,when he getteth him into his net.
10,2,11,"are far above out of his sight, and therefore defieth he all his enemies.",1,"He falleth down, and humbleth himself"
10,2,11,"are far above out of his sight, and therefore defieth he all his enemies.",2,that the congregation of the poor may fall into the hands of his captains.
10,2,12,"are far above out of his sight, and therefore defieth he all his enemies.",1,"He hath said in his heart, Tush, God hath forgotten"
10,2,12,"are far above out of his sight, and therefore defieth he all his enemies.",2,"he hideth away his face, and he will never see it."
10,2,13,"are far above out of his sight, and therefore defieth he all his enemies.",1,"Arise, O Lord God, and lift up thine hand"
10,2,13,"are far above out of his sight, and therefore defieth he all his enemies.",2,forget not the poor.
10,2,14,"are far above out of his sight, and therefore defieth he all his enemies.",1,Wherefore should the wicked blaspheme God
10,2,14,"are far above out of his sight, and therefore defieth he all his enemies.",2,"while he doth say in his heart, Tush, thou God carest not for it."
10,2,15,"are far above out of his sight, and therefore defieth he all his enemies.",1,Surely thou hast seen it
10,2,15,"are far above out of his sight, and therefore defieth he all his enemies.",2,for thou beholdest ungodliness and wrong.
10,2,16,"are far above out of his sight, and therefore defieth he all his enemies.",1,That thou mayest take the matter into thy hand
10,2,16,"are far above out of his sight, and therefore defieth he all his enemies.",2,the poor committeth himself unto thee; for thou art the helper of the friendless.
10,2,17,"are far above out of his sight, and therefore defieth he all his enemies.",1,Break thou the power of the ungodly and malicious
10,2,17,"are far above out of his sight, and therefore defieth he all his enemies.",2,"take away his ungodliness, and thou shalt find none."
10,2,18,"are far above out of his sight, and therefore defieth he all his enemies.",1,The Lord is King for ever and ever
10,2,18,"are far above out of his sight, and therefore defieth he all his enemies.",2,and the heathen are perished out of the land.
10,2,19,"are far above out of his sight, and therefore defieth he all his enemies.",1,"Lord, thou hast heard the desire of the poor"
10,2,19,"are far above out of his sight, and therefore defieth he all his enemies.",2,"thou preparest their heart, and thine ear hearkeneth thereto;"
10,2,20,"are far above out of his sight, and therefore defieth he all his enemies.",1,To help the fatherless and poor unto their right
10,2,20,"are far above out of his sight, and therefore defieth he all his enemies.",2,that the man of the earth be no more exalted against them.
10,3,21,Doxology,1,Glory be to the Father
10,3,21,Doxology,2,"and to the Son, and to the Holy Ghost"
10,3,22,Doxology,1,"As it was in the beginning, is now, and ever shall be"
10,3,22,Doxology,2,world without end. Amen.
11,1,1,In Domino confido,1,IN the Lord put I my trust
11,1,1,In Domino confido,2,"how say ye then to my soul, that she should flee as a bird unto the hill?"
11,1,2,In Domino confido,1,"For lo, the ungodly bend their bow, and make ready their arrows within the quiver"
11,1,2,In Domino confido,2,that they may privily shoot at them which are true of heart.
11,1,3,In Domino confido,1,For the foundations will be cast down
11,1,3,In Domino confido,2,and what hath the righteous done?
11,1,4,In Domino confido,1,The Lord is in his holy temple
11,1,4,In Domino confido,2,the Lord's seat is in heaven.
11,1,5,In Domino confido,1,His eyes consider the poor
11,1,5,In Domino confido,2,and his eye-lids try the children of men.
11,1,6,In Domino confido,1,The Lord alloweth the righteous
11,1,6,In Domino confido,2,"but the ungodly, and him that delighteth in wickedness, doth his soul abhor."
11,1,7,In Domino confido,1,"Upon the ungodly he shall rain snares, fire and brimstone, storm and tempest"
11,1,7,In Domino confido,2,this shall be their portion to drink.
11,1,8,In Domino confido,1,For the righteous Lord loveth righteousness
11,1,8,In Domino confido,2,his countenance will behold the thing that is just.
11,2,9,Doxology,1,Glory be to the Father
11,2,9,Doxology,2,"and to the Son, and to the Holy Ghost"
11,2,10,Doxology,1,"As it was in the beginning, is now, and ever shall be"
11,2,10,Doxology,2,world without end. Amen.
12,1,1,Salvum me fac,1,"HELP me, Lord, for there is not one godly man left"
12,1,1,Salvum me fac,2,for the faithful are minished from among the children of men.
12,1,2,Salvum me fac,1,They talk of vanity every one with his neighbour
12,1,2,Salvum me fac,2,"they do but flatter with their lips, and dissemble in their double heart."
12,1,3,Salvum me fac,1,The Lord shall root out all deceitful lips
12,1,3,Salvum me fac,2,and the tongue that speaketh proud things;
12,1,4,Salvum me fac,1,"Which have said, With our tongue will we prevail"
12,1,4,Salvum me fac,2,"we are they that ought to speak, who is lord over us?"
12,1,5,Salvum me fac,1,Now for the comfortless trouble's sake of the needy
12,1,5,Salvum me fac,2,"and because of the deep sighing of the poor,"
12,1,6,Salvum me fac,1,"I will up, saith the Lord"
12,1,6,Salvum me fac,2,"and will help every one from him that swelleth against him, and will set him at rest."
12,1,7,Salvum me fac,1,The words of the Lord are pure words
12,1,7,Salvum me fac,2,"even as the silver, which from the earth is tried, and purified seven times in the fire."
12,1,8,Salvum me fac,1,"Thou shalt keep them, O Lord"
12,1,8,Salvum me fac,2,thou shalt preserve him from this generation for ever.
12,1,9,Salvum me fac,1,The ungodly walk on every side
12,1,9,Salvum me fac,2,"when they are exalted, the children of men are put to rebuke."
12,2,11,Doxology,1,Glory be to the Father
12,2,11,Doxology,2,"and to the Son, and to the Holy Ghost"
12,2,10,Doxology,1,"As it was in the beginning, is now, and ever shall be"
12,2,10,Doxology,2,world without end. Amen.
13,1,1,"Usque quo, Domine?",1,"HOW long wilt thou forget me, O Lord, for ever"
13,1,1,"Usque quo, Domine?",2,how long wilt thou hide thy face from me?
13,1,2,"Usque quo, Domine?",1,"How long shall I seek counsel in my soul, and be so vexed in my heart"
13,1,2,"Usque quo, Domine?",2,how long shall mine enemies triumph over me?
13,1,3,"Usque quo, Domine?",1,"Consider, and hear me, O Lord my God"
13,1,3,"Usque quo, Domine?",2,"lighten mine eyes, that I sleep not in death."
13,1,4,"Usque quo, Domine?",1,"Lest mine enemy say, I have prevailed against him"
13,1,4,"Usque quo, Domine?",2,"for if I be cast down, they that trouble me will rejoice at it."
13,1,5,"Usque quo, Domine?",1,But my trust is in thy mercy
13,1,5,"Usque quo, Domine?",2,and my heart is joyful in thy salvation.
13,1,6,"Usque quo, Domine?",1,"I will sing of the Lord, because he hath dealt so lovingly with me"
13,1,6,"Usque quo, Domine?",2,"yea, I will praise the Name of the Lord most Highest."
13,2,7,Doxology,1,Glory be to the Father
13,2,7,Doxology,2,"and to the Son, and to the Holy Ghost"
13,2,8,Doxology,1,"As it was in the beginning, is now, and ever shall be"
13,2,8,Doxology,2,world without end. Amen.
14,1,1,Dixit insipiens,1,THE fool hath said in his heart
14,1,1,Dixit insipiens,2,There is no God.
14,1,2,Dixit insipiens,1,"They are corrupt, and become abominable in their doings"
14,1,2,Dixit insipiens,2,"there is none that doeth good, no not one."
14,1,3,Dixit insipiens,1,The Lord looked down from heaven upon the children of men
14,1,3,Dixit insipiens,2,"to see if there were any that would understand, and seek after God."
14,1,4,Dixit insipiens,1,"But they are all gone out of the way, they are altogether become abominable"
14,1,4,Dixit insipiens,2,"there is none that doeth good, no not one."
14,1,5,Dixit insipiens,1,"Their throat is an open sepulchre, with their tongues have they deceived"
14,1,5,Dixit insipiens,2,the poison of asps is under their lips.
14,1,6,Dixit insipiens,1,Their mouth is full of cursing and bitterness
14,1,6,Dixit insipiens,2,their feet are swift to shed blood.
14,1,7,Dixit insipiens,1,"Destruction and unhappiness is in their ways, and the way of peace have they not known"
14,1,7,Dixit insipiens,2,there is no fear of God before their eyes.
14,1,8,Dixit insipiens,1,"Have they no knowledge, that they are all such workers of mischief"
14,1,8,Dixit insipiens,2,"eating up my people as it were bread, and call not upon the Lord?"
14,1,9,Dixit insipiens,1,"There were they brought in great fear, even where no fear was"
14,1,9,Dixit insipiens,2,for God is in the generation of the righteous.
14,1,10,Dixit insipiens,1,"As for you, ye have made a mock at the counsel of the poor"
14,1,10,Dixit insipiens,2,because he putteth his trust in the Lord.
14,1,11,Dixit insipiens,1,Who shall give salvation unto Israel out of Sion? When the Lord turneth the captivity of his people
14,1,11,Dixit insipiens,2,"then shall Jacob rejoice, and Israel shall be glad."
14,2,13,Doxology,1,Glory be to the Father
14,2,13,Doxology,2,"and to the Son, and to the Holy Ghost"
14,2,12,Doxology,1,"As it was in the beginning, is now, and ever shall be"
14,2,12,Doxology,2,world without end. Amen.
15,1,1,"Domine, quis habitabit?",1,"LORD, who shall dwell in thy tabernacle"
15,1,1,"Domine, quis habitabit?",2,or who shall rest upon thy holy hill?
15,1,2,"Domine, quis habitabit?",1,Even he that leadeth an uncorrupt life
15,1,2,"Domine, quis habitabit?",2,"and doeth the thing which is right, and speaketh the truth from his heart."
